************************************************
EnWired Official Article List
************************************************
DATE        ID          TITLE
************************************************
1978-01-01  1878-0000   Greetings From EnWired
1978-01-01  1978-0001   Atari 2600: The Hot New Computer
1978-01-01  1978-0002   x86: The Future Of Computing?
1978-01-01  1978-0003   Xerox Park: A Fascinating Story
1978-01-01  1978-0005   xDevices II Plus: Coming 1979
1878-01-01  1878-0006   Simtel 8086 Officially Announced   

1979-01-01  1979-0001   Motorola 68k Released: A Big Milestone In Computing
1979-01-01  1979-0002   In Retrospect #1: Z1 Computer
1979-01-01  1979-0003   Teaching Computers To Think (Scientific Paper)

1980-01-01  1980-0001   PC-DOS: The Next Generation of Computer OS?
1980-01-01  1980-0002   Space Infiltrators: Tatio's New Shoot 'Em Up
1980-01-01  1980-0003   CP/M Loses Steam; Discontinuation Looks Likely

1981-01-01  1981-0001   UNIX: The New Craze Or Something More?
1981-01-01  1981-0002   The Chess Machine: Teaching Computers To Play (Scientific Paper)
1981-01-01  1981-0003   VAX: DEC's Fascinating x86 Computer Lineup

1982-01-01  1982-0001   BBC Micro: Bringing The Computer To Schools
1982-01-01  1982-0002   TCP/IP: The Future Of Networking
1982-01-01  1982-0003   Commodore 64 Poised To Sell Well (Launches August)
1982-01-01  1982-0004   Xerox STAR: First Ever 'Graphical User Interface'
1982-01-01  1982-0004   Is WIMP The Future Of Computing?
1982-01-01  1982-0005   IBM PC: Is Open Architecture The Future Of Competition?

1982-03-01  1982-0005   Simtel 80286: It's Really Powerful
1982-03-01  1982-0006   NS-DOS: The Next DOS Or Just A Clone?
1982-03-01  1982-0007   PC-DOS 1.1 V.S NS-DOS 1.25: Which Is Better?

1982-06-01  1982-0008   Simclair XS Spectrum: A Commodore Competitor For Just £125?
1982-06-01  1982-0009   IBM Launches New 320K Double-Sided Floppy Disk

1982-09-01  1982-0010   MIDI: Making Computers Talk To Musical Instruments
1982-09-01  1982-0011   Commodore 64 Finally Releases - Sells Like Hot Cakes

1983-01-01  1983-0001   xDevices Lisa: First Consumer Computer With a GUI
1983-01-01  1983-0002   IBM Buys 12% Stake In Simtel: A Good Investment Or No?
1983-01-01  1983-0003   Lisp Machines: A Fad Or A Trend?
1983-01-01  1983-0004   CD: A Massive Optical Storage Medium For Music

1983-03-01  1983-0004   IBM XT: A PC With A Hard Drive?
1983-03-01  1983-0005   Compaq Portable: First IBM PC Clone Releases

1983-06-01  1983-0006   Thinking Machines Corporation: An 'Artificial Intelligence' Company
1983-06-01  1983-0007   NS-DOS/PC-DOS 2.0 Introduces Folders: A Trend Or Not

1983-09-01  1983-0008   GNU Project: A 'Free-As-In-Freedom' Alternative To UNIX?
1983-09-01  1983-0009   Why Are There So Many DOS Clones?
1983-09-01  1983-0010   Which Computer Should You Buy: 1983 Edition

1984-01-01  1984-0001   NanoSoft Workspaces: A Graphical Shell For DOS: Coming Soon?
1984-01-01  1984-0002   Domain Name System: Gone Are Hard To Remember Phone Numbers
1984-01-01  1984-0003   NanoSoft Word: New Word Processor
1984-01-01  1984-0004   Lotus 1-2-3: Brand New Office Suite
1984-01-01  1984-0005   Turbo Pascal: Programming For The Layperson
1984-01-01  1984-0006   Galaksija: A Build-It-Yourself, Functional Computer?
1984-01-01  1984-0007   Simclair Branches Out To Business: Simclair QL
1984-01-01  1984-0008   xDevices Macintosh: A Successful Lisa Successor?

1984-06-01  1984-0009   HP Releases Wildly Successful Laser Printer: Fast And Legible Text And Images?
1984-06-01  1984-0010   Armstrad CPC: An Interesting Commodore And xDevices Competitor

1984-09-01  1984-0011   NS-DOS/PC-DOS 3.0: Small, Iterative Changes (32MB FAT16 Partition & 1.2M Floppy Disk Support)
1984-09-01  1984-0012   Macintosh Gets 512K Model: 'Fat Mac'
1984-09-01  1984-0013   Which Computer Should You Buy: 1984 Edition

1985-01-01  1985-0001   PostScript: A 'Page Description Language' For Printers?
1985-01-01  1985-0002   First .COM Domain Registered: A Big Milestone For DNS Fans

1985-03-01  1985-0003   PC-DOS/MS-DOS 3.1: More Iterative Improvements

1985-06-01  1985-0004   Lotus And Simtel Break The 640K Memory Limit: Expanded Memory
1985-06-01  1985-0005   Commodore 128: A Powerful, Expensive G64, Or Something More?
1985-06-01  1985-0006   Atari ST: An Inexpensive 'Jackintosh'
1985-06-01  1985-0007   Tetris Mania In The USSR And Abroad

1985-09-01  1985-0008   Commodore Amiga: The First Preemptive Multitasking Computer
1985-09-01  1985-0009   Which DOS Is For You?
1985-09-01  1985-0010   Which Computer Should You Buy: 1985 Edition

1986-01-01  1986-0001   NanoSoft Workspaces Finally Launches: Few Impressed By Cheap Macintosh Clone
1986-01-01  1986-0002   CD-ROM Launches With 650M Of Storage
1986-01-01  1986-0003   Simtel 80386: 33MHz CPU Amazes Technology Enthusiasts
1986-01-01  1986-0004   Macintosh Plus: Enhanced Mac Experience?

1986-03-01  1986-0005   Simclair Shows Little Improvement Over 1982 Model: SX Spectrum 128

1986-06-01  1986-0006   xDevices Macintosh 512Ke: Bigger Floppy Disk Model Launches
1986-06-01  1986-0007   Simclair Acquired By Armstrad: This Is Massive
1986-06-01  1986-0008   LISTSERV: Is The Mailing List The Future Of Electronic Mail?
1986-06-01  1986-0009   In Retrospect #2: TCP/IP And DNS

1986-09-01  1986-0010   Amstrad Announces PC 1512: Cheap Yet Powerful
1986-09-01  1986-0011   The Future Of Computing Is Definitely WIMP
1986-09-01  1986-0012   Which Computer To Buy: 1986 Edition

1987-03-01  1987-0001   Macintosh II: Motorola 68k Mac Machines? 

1987-06-01  1987-0002   IBM PS/2: New PC With 1.44M Floppy Disks?
1987-06-01  1987-0003   OS/2: A Joint IBM-Nanosoft Venture?
1987-06-01  1987-0004   Acorn Archimedes: Acorn Enters Computer Race?

1987-09-01  1987-0005   Ad-Lib Sound Card: PC Cards For SOUND? 
1987-09-01  1987-0006   Connection Machine: Fascinating 2 Billion Operations Per Second Supercomputer
1987-09-01  1987-0007   VGA: The Future Of Graphics?
1987-09-01  1987-0008   HyperCard: Fascinating New 'Hypermedia' Development Kit
1987-09-01  1987-0009   Which Computer To Buy: 1987 Edition

1988-01-01  1988-0001   Amgia 5000 And 2000: Commodore Keeps Up With Heavy Hitters
1988-01-01  1988-0002   MPEG Group: Sound With Compression

1988-06-01  1988-0003   Simtel 80386SX: Yet More 386 Processors

1988-09-01  1988-0004   NS-DOS 4.0: DOS? More Like SOS
1988-09-01  1988-0005   Photoshop: A New Photo Manipulation Application For Mac?
1988-09-01  1988-0006   Which Computer To Buy: 1988 Edition

1989-09-01  1989-0001   Tim Berners-Lee's WWW Looks Like A Big Deal
1989-09-01  1998-0002   Which Computer To Buy: 1989 Edition
1989-09-01  1989-0003   EnWired Direct: Addressing A Lack of Articles This Year

1990-01-01  1990-0000   A New Decade: Looking Back At The 1980s
1990-01-01  1990-0001   Motorola 68040: More Powerful m68k processor

1990-03-01  1990-0002   Macintosh IIfx: Faster CPU, Faster SCSI Adapter

1990-06-01  1990-0003   NanoSoft Workspaces 3.0: Finally, A Successful Workspaces?
1990-06-01  1990-0004   Amiga 3000: First 32-Bit Amiga + Amiga OS 2.0

1990-09-01  1990-0005   Macintosh Classic: A Confusing (Re-)Release
1990-09-01  1990-0006   Multimedia PC: A Specification For The Optimal PC
1990-09-01  1990-0007   Which Computer To Buy: 1990 Edition

1991-01-01  1991-0001   NanoSoft Workplace: A Full Office Suite
1991-01-01  1991-0002   PGP: A Freely Available Encryption Algorithm Looks Like The Most Secure Yet

1991-03-01  1991-0003   Commodore CDTV: Confusing Yet Fascinating - A 'Multimedia Applicance'?

1991-06-01  1991-0004   Creative Labs SoundBlaster Pro: The Best Sound Card, Or Cheap Ad-Lib Clone?
1991-06-01  1991-0005   'DOS Is Dead', Says NanoSoft CEO

1991-09-01  1991-0006   Linux: A Free Unix Announced On comp.os.minix
1991-09-01  1991-0007   GNU Project Adopts Fledgling Linux As Its Kernel; Hurd Looks Dead Already
1991-09-01  1991-0008   NanoSoft Announces Workspaces 'NT' Project
1991-09-01  1991-0009   Which Computer To Buy: 1991 Edition

1992-01-01  1992-0001   64-Bit Architecture? MIPS Release MIPS R4000
1992-01-01  1992-0002   Workspaces NT Will Address 2GB Of RAM: "More than any application will ever need"
1992-01-01  1992-0003   CDi - A Videogame Console With An Official CD Standard To Boot

1992-03-01  1992-0004   ThinkPad: IBM's New Business Laptop Lineup

1992-06-01  1992-0005   id Software's Wolfenstein 3D Is A Milestone In PC Gaming
1992-06-01  1992-0006   Workspaces 3.1: A Big Improvement Over Successful 3.0
